run_id,seed,translation_cost,turning_cost
two_value_split_cost_0000_000,54828,0.00025,0.00025
two_value_split_cost_0000_001,24997,0.00025,0.00025
two_value_split_cost_0000_002,44721,0.00025,0.00025
two_value_split_cost_0000_003,85487,0.00025,0.00025
two_value_split_cost_0000_004,99961,0.00025,0.00025
two_value_split_cost_0000_005,4834,0.00025,0.00025
two_value_split_cost_0000_006,17129,0.00025,0.00025
two_value_split_cost_0000_007,23149,0.00025,0.00025
two_value_split_cost_0000_008,52438,0.00025,0.00025
two_value_split_cost_0000_009,36131,0.00025,0.00025
two_value_split_cost_0001_000,297,0.00025,0.004
two_value_split_cost_0001_001,18545,0.00025,0.004
two_value_split_cost_0001_002,12399,0.00025,0.004
two_value_split_cost_0001_003,20994,0.00025,0.004
two_value_split_cost_0001_004,31986,0.00025,0.004
two_value_split_cost_0001_005,23314,0.00025,0.004
two_value_split_cost_0001_006,88645,0.00025,0.004
two_value_split_cost_0001_007,66478,0.00025,0.004
two_value_split_cost_0001_008,9290,0.00025,0.004
two_value_split_cost_0001_009,5141,0.00025,0.004
two_value_split_cost_0002_000,37350,0.004,0.00025
two_value_split_cost_0002_001,95841,0.004,0.00025
two_value_split_cost_0002_002,7951,0.004,0.00025
two_value_split_cost_0002_003,41149,0.004,0.00025
two_value_split_cost_0002_004,20236,0.004,0.00025
two_value_split_cost_0002_005,93990,0.004,0.00025
two_value_split_cost_0002_006,19384,0.004,0.00025
two_value_split_cost_0002_007,60226,0.004,0.00025
two_value_split_cost_0002_008,51244,0.004,0.00025
two_value_split_cost_0002_009,78709,0.004,0.00025
two_value_split_cost_0003_000,10424,0.004,0.004
two_value_split_cost_0003_001,65802,0.004,0.004
two_value_split_cost_0003_002,47476,0.004,0.004
two_value_split_cost_0003_003,24852,0.004,0.004
two_value_split_cost_0003_004,14282,0.004,0.004
two_value_split_cost_0003_005,89177,0.004,0.004
two_value_split_cost_0003_006,43063,0.004,0.004
two_value_split_cost_0003_007,17914,0.004,0.004
two_value_split_cost_0003_008,88002,0.004,0.004
two_value_split_cost_0003_009,26901,0.004,0.004
